Scheme_ID,Scheme_Name,Ministry,Category,Launch_Year,Target_Beneficiaries,Budget_Allocated_Crore,Budget_Utilized_Crore,States_Covered,Beneficiaries_Reached_Lakh,Status,Mode,Gender_Focus,Age_Group,Application_Mode,Success_Rate_%,Grievances_Filed,Grievances_Resolved,Scheme_Duration_Years,Annual_Report_Available,Website_Available,PM_Flagship,Nodal_Agency,Remarks
S0001,Pradhan Mantri Jan Dhan Yojana,Ministry of Finance,Financial Inclusion,2014,All Citizens,10000,9800,All States,50.09,Active,Direct Benefit Transfer,All,All Ages,Online/Offline,98,12000,11500,Ongoing,Yes,Yes,Yes,Department of Financial Services,
S0002,Pradhan Mantri Awas Yojana - Urban,Ministry of Housing,Housing,2015,Urban Poor,60000,48500,All States,120,Active,Subsidy,All,18-60,Online,80.8,45000,38000,2022,Yes,Yes,Yes,HUDCO,
S0003,Pradhan Mantri Awas Yojana - Gramin,Ministry of Rural Development,Housing,2016,Rural Poor,130000,,All States,250,Active,Direct Benefit Transfer,All,18-60,Offline,85,,32000,2024,Yes,Yes,Yes,DRDA,Missing budget utilization data
S0004,Swachh Bharat Mission - Urban,Ministry of Housing,Sanitation,2014,Urban Households,62009,59000,All States,180,Active,Reimbursement,All,All Ages,Online/Offline,95.2,8900,8100,2024,Yes,Yes,Yes,MoHUA,
S0005,Swachh Bharat Mission - Gramin,Ministry of Jal Shakti,Sanitation,2014,Rural Households,134000,130000,All States,600,Active,Direct Benefit Transfer,All,All Ages,Offline,96.8,5200,5000,2019,Yes,Yes,Yes,DDWS,
S0006,Pradhan Mantri Ujjwala Yojana,Ministry of Petroleum,Energy,2016,BPL Women,12800,12000,All States,96,Active,Direct Benefit Transfer,Women,18+,Offline,93.8,34000,31000,Ongoing,Yes,Yes,Yes,IOCL/BPCL/HPCL,
S0007,Pradhan Mantri Fasal Bima Yojana,Ministry of Agriculture,Agriculture,2016,Farmers,15695,,All States,580,Active,Insurance,All,18+,Online/Offline,72,95000,78000,Ongoing,Yes,Yes,Yes,AIC of India,Missing utilization
S0008,Pradhan Mantri Kisan Samman Nidhi,Ministry of Agriculture,Agriculture,2019,Small Farmers,75000,70000,All States,1150,Active,Direct Benefit Transfer,All,18+,Online,93.3,120000,110000,Ongoing,Yes,Yes,Yes,AGRI-STACK,
S0009,Ayushman Bharat - PMJAY,Ministry of Health,Health,2018,Poor Families,64000,52000,33,55,Active,Insurance,All,All Ages,Online/Offline,81.25,250000,210000,Ongoing,Yes,Yes,Yes,NHA,
S0010,National Health Mission,Ministry of Health,Health,2013,Rural Population,37000,35500,All States,,Active,Grant,All,All Ages,N/A,96,18000,17500,Ongoing,Yes,Yes,No,MoHFW,No direct beneficiary count
S0011,Rashtriya Self Help Groups Rozgar Yojana,Ministry of Ports,Child Protection,2009,Children,226070,192245,All States,14942.83,Under Review,Digital Platform,Women/Children,18+,Online,65.7,168884,161845,Ongoing,Yes,No,No,FCI,Discontinued after 2020
S0012,Atal Fisheries Development Vikas Yojana,Ministry of Minority Affairs,Rural Development,1996,Small Entrepreneurs,162290,125954,All States,8377.17,Completed,Policy,Children,18-45,Offline,90,175088,142748,6,Yes,Yes,Yes,NPCI,Budget revised upward
S0013,Jan Crop Insurance Urja Yojana,Ministry of MSME,Financial Inclusion,1989,Students,207292,150507,All States,8713.44,Closed,Policy,Women/Children,18-45,Online/Offline,55.5,485331,353351,3,Yes,Yes,No,HUDCO,Self-funded contributory
S0014,Samagra Women Safety Mission,Ministry of Environment,Credit,2001,Minorities,191999,,All States,3366.73,Closed,Insurance,SC/OBC,18-70,Multiple,,160085,,15,Yes,Yes,No,NFDB,
S0015,Indira Gandhi Watershed Development Kaushal,PMO,Research,2022,Pregnant Women,339384,,All States,2531.77,Active,Loan Guarantee,Children,0-6,Online,80.2,171032,168600,13,Yes,No,No,MeitY,Self-funded contributory
S0016,Mahatma Gandhi Post Harvest Yojana,Ministry of Law and Justice,Urban Livelihood,1980,Fishers,105220,44095,All States,10931.65,Completed,Savings Scheme,SC/ST,14-18,Online/Offline,59.9,299397,201717,3,Yes,Yes,No,DRDA,Missing beneficiary data
S0017,Rajiv Gandhi Animal Husbandry Rozgar Yojana,Ministry of Food,Digital Infrastructure,1995,Students,118540,42617,All States,6826.54,Completed,Digital Platform,All,30+,Online,82.9,436625,319978,9,Yes,Yes,No,NSIC,
S0018,Jan Irrigation Shiksha Yojana,Ministry of Labour,Women Empowerment,1954,Tribal Communities,54336,20210,25,3916.64,Closed,Digital Platform,Women,18-45,N/A,40.8,183171,117816,8,No,Yes,No,NFDB,Data partially available
S0019,Mukhyamantri Climate Change Shiksha Yojana,Ministry of Tribal Affairs,Pension,2003,Unorganised Workers,355493,276878,All States,,Active,Infrastructure,Women/Children,21-45,Multiple,45.2,68793,52723,2007,Yes,Yes,No,DAHD,
S0020,Central Port Development Scheme,Ministry of Panchayati Raj,Regional Development,1997,Urban Poor,274514,,All States,2346.28,Completed,Awareness,Women/Children,14-18,N/A,65.4,241615,226552,1,Yes,No,No,UIDAI,Missing beneficiary data
S0021,Integrated e-Governance Abhiyan,Ministry of Rural Development,Governance,2008,OBC,285204,231233,28,2146.2,Completed,Pension Scheme,Women/Children,18-40,N/A,56.2,494230,419486,Ongoing,Yes,Yes,No,KVIC,
S0022,Gram Heritage Conservation Samman Nidhi,Ministry of Labour,Digital Infrastructure,1979,Rural Poor,254562,185584,All States,6367.11,Active,Pension Scheme,Women,21-45,Online/Offline,97.4,60827,58305,Ongoing,No,Yes,No,MNRE,Merged with another scheme
S0023,Swachh Border Security Kaushal,Ministry of Culture,Employment,1990,Urban Poor,250241,101792,All States,3677.43,Closed,Micro Credit,Children,0-6,Online,97.3,325541,321906,Ongoing,No,Yes,No,QCI,Budget revised upward
S0024,Swachh Soil Conservation Yojana,Ministry of Textiles,Sports,2003,Students,494638,469461,All States,3148.13,Active,Fellowship,SC/ST,21-55,N/A,62.3,415291,389676,7,Yes,No,No,State Govts,
S0025,Rashtriya Flood Relief Programme,Ministry of Ports,Health,1963,Students,39082,23530,All States,13080.22,Under Review,Legal Framework,Children,21-30,N/A,59.2,85476,55632,2029,Yes,Yes,No,DFPD,
S0026,Digital Dairy Development Initiative,Ministry of Labour,Transport,1998,Pregnant Women,134741,75094,All States,6286.4,Completed,Price Support,Children,16-59,N/A,39.2,302033,279585,9,No,No,No,NIC,
S0027,National Post Harvest Vikas Yojana,Ministry of AYUSH,Water,1957,Pregnant Women,16499,8841,All States,11283.82,Closed,Loan Guarantee,Women/Children,14-18,Multiple,88.4,204130,166616,13,Yes,Yes,Yes,HUDCO,New phase announced
S0028,Gram Food Processing Sinchai Yojana,Ministry of Mines,Tribal Development,1971,Rural Poor,484291,320384,28,4946.1,Active,Reimbursement,Women,18-45,Online/Offline,78.6,22068,14554,Ongoing,Yes,No,No,REC,Scheme under review
S0029,Mahatma Gandhi Leprosy Elimination Bima Yojana,Ministry of Fisheries,Organic Farming,2007,Rural Poor,276669,276490,All States,8021.43,Closed,Reimbursement,SC/OBC,22-35,Multiple,97.2,245116,237729,Ongoing,Yes,Yes,No,PFC,Merged with another scheme
S0030,Mukhyamantri Cultural Promotion Jan Vikas,Ministry of Commerce,Child Protection,2001,Artisans,460413,344184,All States,14067.38,Active,Pension Scheme,All,All Ages,Online,90,496489,297895,3,Yes,Yes,No,MoTA,Scheme under review
S0031,Rajiv Gandhi Leprosy Elimination Swasthya Yojana,Ministry of MSME,Entrepreneurship,1995,Tribal Communities,71690,65711,All States,1990.77,Active,Cash Incentive,Children,21-45,Online,,488913,,6,No,Yes,Yes,NMCG,Pilot phase
S0032,National Women Safety Awaas Yojana,Ministry of Fisheries,Sports,1991,Artisans,406515,162076,All States,533.91,Under Review,Fellowship,All,22-35,Online,87.6,384277,283636,Ongoing,Yes,Yes,No,NFDB,
S0033,Atal Deafness Mission,Ministry of Petroleum,Transport,1959,Artisans,134607,114364,30,2583.24,Active,Reimbursement,All,21-30,N/A,81.7,475621,470315,15,Yes,Yes,No,State Govts,
S0034,Pradhan Mantri e-Governance Nidhi,Ministry of Ports,Border Development,2006,Persons with Disability,433638,277301,All States,683.74,Active,Scholarship,Women,15-35,Multiple,34.3,23809,17455,Ongoing,Yes,Yes,No,DAHD,
S0035,Pradhan Mantri Minority Welfare Rozgar Yojana,Ministry of Commerce,Sports,1991,All Citizens,386883,237017,All States,2646.03,Active,Multiple,Women,15-35,N/A,96.4,236376,161924,13,Yes,Yes,No,DRDA,Discontinued after 2020
S0036,Samagra Tourism Development Bima Yojana,Ministry of Petroleum,Urban Development,1970,Senior Citizens,157708,113938,All States,,Closed,Subsidy,Children,18-45,Offline,83.7,10312,7021,2024,Yes,Yes,No,NRLM,Budget revised upward
S0037,Swachh Deafness Sadak Yojana,Ministry of Science and Technology,Insurance,1985,Youth,347162,199949,All States,8632.26,Completed,Direct Benefit Transfer,Women/Children,18-40,Online,84.7,214286,177996,2005,Yes,Yes,No,DPIIT,No direct govt budget
S0038,State Nutrition Programme Programme,Ministry of Agriculture,Skill Development,1980,OBC,104960,64929,All States,,Active,Tax Benefits,Children,0-6,Offline,85.5,269310,212117,2000,Yes,Yes,Yes,NSIC,Scheme under review
S0039,Deendayal Disaster Management Kaushal,Ministry of Housing,Regional Development,1979,Persons with Disability,155853,156797,All States,2333.71,Active,Awareness,All,16-59,N/A,64,231858,159107,1987,Yes,No,No,NABARD,Merged with another scheme
